num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,stmts_propagated,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
263459,0,-1,19502.72,7387335,48549.0,2023568,216875,viber,8,CHA,185000,743.0,0
446780815,0,-1,2032.45,378866,196167.0,2695402340,54416,viber,8,SPARK,303896917,919.0,0
0,0,-1,25140.07,214425,0.0,0,38862,viber,-1,s-2c,0,23104.31,0
500976662,0,-1,1262.61,229137,195554.0,4539548470,39189,viber,9,2t,308317332,83.73,0
640029284,0,-1,19213.53,110443,214545.0,5632197952,34549,viber,9,Z-2o,404010567,939.87,0
291572,0,-1,19424.71,7387335,56718.0,2235979,216875,viber,4,CHA,225207,690.0,0
449377689,0,-1,2045.9,378866,193910.0,2707567420,54416,viber,9,SPARK,300661545,926.0,0
490208820,0,-1,22944.86,214425,194783.0,4706661327,38862,viber,9,s-2c,290683179,21963.04,0
520410392,0,-1,1224.25,229137,195270.0,4723800999,39189,viber,9,2t,307180590,82.53,0
620144931,0,-1,19375.58,110443,214608.0,5461873330,34549,viber,9,Z-2o,411200865,923.55,0
