num_of_methods_propagated,expected_leaks,ground_truth,analysis_time,cg_edges,analysis_memory,reachable_methods,app_name,no_of_leaks,cg_name,num_edges_propagated,cg_construction_time,unexpected_leaks
790,1,1,1.97,3525,95.0,877,death_ring_materialflow,1,CHA,2809,0.72,0
719,1,1,2.11,2428,232.0,673,death_ring_materialflow,1,VTA,2811,0.88,0
768,1,1,2.47,3142,132.0,772,death_ring_materialflow,1,RTA,2808,1.23,0
726,1,1,2.39,2416,252.0,671,death_ring_materialflow,1,SPARK,2811,1.14,0
710,1,1,1.62,1260,111.0,499,death_ring_materialflow,1,insens,2809,0.45,0
716,1,1,1.81,1260,179.0,499,death_ring_materialflow,1,B-2o,2811,0.63,0
715,1,1,1.65,1260,70.0,499,death_ring_materialflow,1,D-2o,2811,0.47,0
709,1,1,1.71,1260,72.0,499,death_ring_materialflow,1,D-2c,2810,0.53,0
711,1,1,1.68,1260,91.0,499,death_ring_materialflow,1,1c,2810,0.51,0
716,1,1,1.81,1260,137.0,499,death_ring_materialflow,1,2c,2811,0.64,0
713,1,1,1.69,1260,99.0,499,death_ring_materialflow,1,1o,2806,0.48,0
706,1,1,1.67,1260,104.0,499,death_ring_materialflow,1,2o,2808,0.49,0
717,1,1,1.66,1260,111.0,499,death_ring_materialflow,1,1t,2810,0.47,0
715,1,1,1.63,1260,69.0,499,death_ring_materialflow,1,2t,2810,0.47,0
670,1,1,1.71,1260,69.0,499,death_ring_materialflow,1,1h,2807,0.5,0
708,1,1,1.7,1260,152.0,499,death_ring_materialflow,1,2h,2810,0.52,0
710,1,1,1.62,1260,69.0,499,death_ring_materialflow,1,1ht,2808,0.44,0
706,1,1,1.62,1260,102.0,499,death_ring_materialflow,1,2ht,2811,0.45,0
724,1,1,1.76,1260,62.0,499,death_ring_materialflow,1,M-1o,2811,0.57,0
718,1,1,1.76,1260,61.0,499,death_ring_materialflow,1,M-2o,2810,0.59,0
647,1,1,1.84,1260,65.0,499,death_ring_materialflow,1,M-1c,2810,0.61,0
722,1,1,1.89,1260,65.0,499,death_ring_materialflow,1,M-2c,2810,0.71,0
708,1,1,1.74,1260,158.0,499,death_ring_materialflow,1,E-1o,2811,0.58,0
718,1,1,1.78,1260,111.0,499,death_ring_materialflow,1,E-2o,2809,0.58,0
708,1,1,1.8,1260,177.0,499,death_ring_materialflow,1,T-1o,2810,0.61,0
717,1,1,1.88,1260,138.0,499,death_ring_materialflow,1,T-2o,2809,0.65,0
716,1,1,1.9,1260,68.0,499,death_ring_materialflow,1,Z-1o,2809,0.7,0
714,1,1,1.9,1260,69.0,499,death_ring_materialflow,1,Z-2o,2810,0.68,0
715,1,1,1.97,1260,72.0,499,death_ring_materialflow,1,Z-1c,2810,0.67,0
722,1,1,1.95,1260,72.0,499,death_ring_materialflow,1,Z-2c,2806,0.69,0
719,1,1,2.12,1260,136.0,499,death_ring_materialflow,1,s-1c,2810,0.89,0
712,1,1,2.21,1260,105.0,499,death_ring_materialflow,1,s-2c,2809,0.99,0
